LOOPNr,ID,Electrode,Date,Human_Interface,Main_Drop_Z,Sec_Drop_Z,Error_Main
LOOP2,1a,Pt,2020-04-01,11.0,11.38,7.968,0.3800000000000008
LOOP2,1b,Pt,2020-04-01,11.0,11.164,7.538,0.1639999999999997
LOOP2,1b,Pt,2020-09-21,9.7,10.003,7.874,0.3030000000000008
LOOP2,1c,Pt,2020-09-21,9.7,9.733,7.269,0.03300000000000125
LOOP2,2Aa,Pt,2020-04-01,3.6,1.973,,-1.627
LOOP2,2Ab,Pt,2020-04-01,3.6,1.778,,-1.822
LOOP2,2a,Pt,2020-04-01,6.0,5.257,2.531,-0.7430000000000003
LOOP2,2a,Pt,2020-09-17,3.7,2.83,,-0.8700000000000001
LOOP2,2b,Pt,2020-04-01,6.0,5.634,4.096,-0.36599999999999966
LOOP2,2b,Pt,2020-09-17,3.7,2.561,,-1.1390000000000002
LOOP2,2c,Pt,2020-04-01,6.0,6.144,3.813,0.14400000000000013
LOOP2,2c,Pt,2020-09-17,3.7,3.688,,-0.01200000000000001
LOOP2,3a,Pt,2020-04-01,5.5,3.033,,-2.467
LOOP2,3a,Pt,2020-09-17,2.7,2.883,,0.18299999999999983
LOOP2,3b,Pt,2020-04-01,5.0,2.867,5.695,-2.133
LOOP2,3b,Pt,2020-09-17,2.7,3.108,,0.4079999999999999
LOOP2,4a,Pt,2020-04-01,11.0,11.709,7.543,0.7089999999999996
LOOP2,4a,Pt,2020-09-21,16.0,15.926,12.013,-0.07399999999999984
LOOP2,4b,Pt,2020-04-01,11.0,11.765,7.445,0.7650000000000006
LOOP2,4b,Pt,2020-09-21,16.0,15.856,13.957,-0.14400000000000013
LOOP3,1a,Pt1,2020-11-11,5.5,6.956,3.43,1.4560000000000004
LOOP3,1a,Pt2,2020-11-11,5.5,6.743,4.187,1.2430000000000003
LOOP3,1b,Pt1,2020-11-11,5.5,5.248,3.583,-0.2519999999999998
LOOP3,1b,Pt2,2020-11-11,7.0,8.097,2.646,1.0969999999999995
LOOP3,2a,Pt1,2020-11-12,4.5,4.539,,0.0389999999999997
LOOP3,2a,Pt2,2020-11-12,4.5,4.638,,0.1379999999999999
LOOP3,2b,Pt1,2020-11-12,3.2,3.486,,0.28600000000000003
LOOP3,2b,Pt2,2020-11-12,4.5,3.289,,-1.2109999999999999
LOOP3,3a,Pt,2020-11-12,4.2,4.457,,0.2569999999999997
LOOP3,3b,Pt,2020-11-13,5.0,4.697,,-0.30299999999999994
LOOP3,5a,Pt,2020-11-13,6.0,8.99,5.798,2.99
LOOP3,5b,Pt1,2020-12-02,6.0,6.264,,0.26400000000000023
LOOP3,5b,Pt2,2020-12-02,6.0,6.449,,0.44899999999999984
LOOP3,6a,Pt1,2020-12-02,5.0,5.218,2.802,0.21799999999999997
LOOP3,6a,Pt2,2020-12-02,5.0,5.018,2.797,0.017999999999999794
LOOP3,6b,Pt1,2020-12-02,3.8,4.836,2.524,1.0360000000000005
LOOP3,6b,Pt2,2020-12-02,3.8,4.934,2.521,1.1340000000000003
LOOP4,Geological Window-2a,Pt1,2021-03-09,5.6,5.57,3.353,-0.02999999999999936
LOOP4,Geological Window-2b,Pt1,2021-03-09,5.2,5.408,3.608,0.20800000000000018
LOOP4,Til layer-1a,Pt1,2021-03-09,5.7,6.997,4.353,1.2969999999999997
LOOP4,Til layer-1a,Pt2,2021-03-09,5.7,6.972,3.312,1.2720000000000002
LOOP4,Til layer-1b,Pt1,2021-03-09,6.7,6.99,2.1,0.29000000000000004
LOOP4,Til layer-1b,Pt2,2021-03-09,6.7,6.956,2.202,0.2560000000000002
LOOP4,Til layer-2a,Pt1,2021-03-09,3.2,4.315,1.882,1.1150000000000002
LOOP4,Til layer-2a,Pt2,2021-03-09,3.2,4.308,1.811,1.1079999999999997
LOOP4,Til layer-2b,Pt,2021-03-09,3.2,4.322,2.228,1.1219999999999999
LOOP4,interglacial sand-2a,Pt1,2021-03-10,4.2,4.518,6.012,0.3179999999999996
LOOP4,interglacial sand-2a,Pt2,2021-03-10,4.2,4.574,,0.37399999999999967
LOOP4,interglacial sand-2b,Pt1,2021-03-10,3.2,3.316,,0.11599999999999966
LOOP4,interglacial sand-2b,Pt2,2021-03-10,3.3,3.425,,0.125
LOOP4,meltwater sand-1a,Pt1,2021-03-10,5.5,5.657,,0.15700000000000003
LOOP4,meltwater sand-1a,Pt2,2021-03-10,5.5,5.506,,0.006000000000000227
LOOP4,meltwater sand-1b,Pt1,2021-03-10,5.5,5.584,,0.08399999999999963
LOOP4,meltwater sand-1b,Pt2,2021-03-10,5.5,5.602,,0.10200000000000031
LOOP4,meltwater sand-2a,Pt1,2021-03-10,5.5,5.78,,0.28000000000000025
LOOP4,meltwater sand-2a,Pt2,2021-03-10,5.5,5.78,,0.28000000000000025
LOOP4,meltwater sand-2b,Pt1,2021-03-10,5.5,5.724,,0.2240000000000002
LOOP4,meltwater sand-2b,Pt2,2021-03-10,5.5,5.724,,0.2240000000000002
LOOP6,1a,Pt1,2021-02-24,4.8,3.548,,-1.2519999999999998
LOOP6,1a,Pt2,2021-02-24,4.8,4.492,,-0.30799999999999983
LOOP6,1b,Pt1,2021-02-24,4.8,3.066,,-1.734
LOOP6,1b,Pt2,2021-02-24,4.8,4.457,,-0.34299999999999997
LOOP6,2Aa,Pt1,2021-02-24,2.0,2.521,,0.5209999999999999
LOOP6,2Aa,Pt2,2021-02-24,2.0,2.32,,0.31999999999999984
LOOP6,2Ab,Pt1,2021-02-24,2.0,2.146,,0.1459999999999999
LOOP6,2Ab,Pt2,2021-02-24,2.0,8.345,2.204,6.345000000000001
LOOP6,2a,Pt1,2021-02-24,3.0,3.271,,0.2709999999999999
LOOP6,2a,Pt2,2021-02-24,3.0,3.246,,0.246
LOOP6,2b,Pt1,2021-02-24,3.0,2.875,,-0.125
LOOP6,2b,Pt2,2021-02-24,3.0,2.747,,-0.2530000000000001
LOOP6,3a,Pt1,2021-02-25,9.0,9.184,7.241,0.18399999999999928
LOOP6,3a,Pt2,2021-02-25,9.0,9.235,,0.23499999999999943
LOOP6,3b,Pt1,2021-02-25,9.0,8.759,7.159,-0.24099999999999966
LOOP6,3b,Pt2,2021-02-25,9.0,8.123,,-0.8770000000000007
LOOP6,5a,Pt1,2021-02-25,7.5,7.586,,0.0860000000000003
LOOP6,5a,Pt2,2021-02-25,7.5,7.475,,-0.025000000000000355
LOOP6,5b,Pt1,2021-02-25,8.0,8.401,,0.4009999999999998
LOOP6,5b,Pt2,2021-02-25,8.0,7.998,,-0.0019999999999997797
LOOP6,6a,Pt1,2021-02-25,5.7,6.954,,1.2539999999999996
LOOP6,6a,Pt2,2021-02-25,6.2,6.929,,0.7290000000000001
LOOP6,6b,Pt1,2021-02-25,7.0,6.93,,-0.07000000000000028
LOOP6,6b,Pt2,2021-02-25,7.0,6.855,,-0.14499999999999957
LOOP6,7a,Pt,2021-03-03,6.0,6.805,16.649,0.8049999999999997
LOOP6,7b,Pt1,2021-03-03,6.0,5.911,,-0.08900000000000041
LOOP6,7b,Pt2,2021-03-03,6.8,7.982,5.885,1.1820000000000004
DEMO,6a,Pt1,2021-10-14,7.8,7.835,,0.03500000000000014
DEMO,6a,Pt2,2021-10-14,7.8,7.782,,-0.017999999999999794
DEMO,6b,Pt1,2021-10-14,7.8,6.422,,-1.3780000000000001
DEMO,6b,Pt2,2021-10-14,7.8,8.248999999999999,,0.44899999999999896
DEMO,7a,Pt1,2021-10-14,8.3,8.212,,-0.08800000000000097
DEMO,7a,Pt2,2021-10-14,8.3,8.153,,-0.14700000000000024
DEMO,7b,Pt1,2021-10-14,8.3,7.8,,-0.5000000000000009
DEMO,7b,Pt2,2021-10-14,8.3,8.42,,0.11999999999999922
